id,md_datetime_utc_start_hour,md_network_series_tok,md_network_tok,md_datetime_utc_start,score
2018-01-17_0000_US_KABC_Eyewitness_News_4PM_main,2018011700,KABC Eyewitness News 4PM,KABC,1516147201000,24.739466
2018-01-17_0000_US_KNBC_NBC_4_News_at_4pm_main,2018011700,KNBC NBC 4 News at 4pm,KNBC,1516147201000,15.646612
2018-01-16_2000_US_KCAL_KCAL_9_News_at_12PM_main,2018011620,KCAL KCAL 9 News at 12PM,KCAL,1516132801000,15.646612
2018-01-16_1900_US_KNBC_NBC_4_News_at_11am_main,2018011619,KNBC NBC 4 News at 11am,KNBC,1516129202000,11.063826
2018-01-16_1900_US_KABC_Eyewitness_News_11AM_main,2018011619,KABC Eyewitness News 11AM,KABC,1516129201000,27.100729
2018-01-16_1900_US_KCBS_CBS_2_News_at_11AM_main,2018011619,KCBS CBS 2 News at 11AM,KCBS,1516129201000,24.739466
2018-01-16_1500_US_KCBS_CBS_This_Morning_main,2018011615,KCBS CBS This Morning,KCBS,1516114801000,11.063826
2018-01-16_1400_US_KNBC_Today_in_LA_main,2018011614,KNBC Today in LA,KNBC,1516111202000,11.063826
2018-01-16_1400_US_KTTV-FOX_Fox_11_Morning_News_at_6am_main,2018011614,KTTV-FOX Fox 11 Morning News at 6am,KTTV-FOX,1516111201000,27.100729
2018-01-16_1400_US_HLN_Morning_Express_With_Robin_Meade_main,2018011614,HLN Morning Express With Robin Meade,HLN,1516111201000,19.163107
2018-01-16_1300_US_HLN_Morning_Express_With_Robin_Meade_main,2018011613,HLN Morning Express With Robin Meade,HLN,1516107602000,22.127651
2018-01-16_1300_US_KNBC_Today_in_LA_main,2018011613,KNBC Today in LA,KNBC,1516107602000,19.163107
2018-01-16_1200_US_KNBC_Today_in_LA_main,2018011612,KNBC Today in LA,KNBC,1516104003000,19.163107
2018-01-16_1200_US_HLN_Morning_Express_With_Robin_Meade_main,2018011612,HLN Morning Express With Robin Meade,HLN,1516104001000,11.063826
2018-01-16_1130_US_KNBC_Early_Today_main,2018011611,KNBC Early Today,KNBC,1516102201000,19.163107
